Rank,Name,City,Country,Metres
1,Burj Khalifa,Dubai,UAE,828
2,Shanghai Tower,Shanghai,China,632
3,Abraj Al-Bait Clock Tower,Mecca,Saudi Arabia,601
4,Ping An Finance Center,Shenzhen,China,599
5,Lotte World Tower,Seoul,South Korea,554
6,One World Trade Center,New York City,United States,541
